Year of Car,Make of car,Model,Price of car,Location of car,Kilometers,Diesel/Petrol,Body-type,Owner
2020,Renault,KWID CLIMBER 1.0 AMT,4.9 Lakhs,Delhi,"19,000 Kms",Petrol,Hatchback,1st Owner
2019,Renault,KWID RXL,3.65 Lakhs,Faridabad,"14,214 Kms",Petrol,Hatchback,1st Owner
2019,Renault,KWID RXL,3.65 Lakhs,Faridabad,"14,214 Kms",Petrol,Hatchback,1st Owner
2019,Tata,TIAGO REVOTRON XZ PL...,5.65 Lakhs,Faridabad,"9,109 Kms",Petrol,Hatchback,1st Owner
2019,Maruti Suzuki,S PRESSO VXI PLUS,4.5 Lakhs,Ghaziabad,"20,200 Kms",Petrol,Hatchback,1st Owner
2013,Renault,DUSTER 85 PS RXE DIE...,3.25 Lakhs,Delhi,"93,000 Kms",Diesel,SUV,1st Owner
2013,Renault,DUSTER RXL PACK DIES...,3.95 Lakhs,Gurgaon,"66,612 Kms",Diesel,SUV,1st Owner
2013,Renault,DUSTER RXL PLUS DIES...,4.25 Lakhs,Gurgaon,"90,923 Kms",Diesel,SUV,1st Owner
2014,Nissan,TERRANO XL D,4.5 Lakhs,Delhi,"67,841 Kms",Diesel,SUV,1st Owner
2013,Renault,DUSTER 110 PS RXZ,4.5 Lakhs,Delhi,"80,000 Kms",Diesel,SUV,1st Owner
2019,Tata,TIAGO REVOTRON XZ PL...,NO PRICE,Noida,"10,000 Kms",Petrol,Hatchback,1st Owner
2018,Hyundai,GRAND I10 SPORTZ 1.2...,5.25 Lakhs,Faridabad,"16,592 Kms",Petrol,Hatchback,1st Owner
2015,Ford,ECOSPORT TITANIUM 1....,6.45 Lakhs,Gurgaon,"70,293 Kms",Petrol,SUV,1st Owner
2013,Honda,BRIO V MT,2.92 Lakhs,Gurgaon,"43,000 Kms",Petrol,Hatchback,2nd Owner
2010,Hyundai,I20 SPORTZ 1.2 BS IV,2.55 Lakhs,Faridabad,"75,236 Kms",Petrol,Hatchback,1st Owner
2011,Hyundai,SANTRO XING GL,NO PRICE,Noida,"67,980 Kms",Petrol,Hatchback,2nd Owner
2012,Hyundai,I10 ERA 1.1 1RDE2,2.5 Lakhs,Noida,"38,428 Kms",Petrol,Hatchback,1st Owner
2010,Hyundai,I20 SPORTZ 1.2 BS IV,2.55 Lakhs,Faridabad,"75,236 Kms",Petrol,Hatchback,1st Owner
2010,Hyundai,I10 MAGNA 1.2,2.65 Lakhs,Ghaziabad,"26,500 Kms",Petrol,Hatchback,1st Owner
2010,Hyundai,I10 MAGNA 1.2,2.65 Lakhs,Delhi,"26,858 Kms",Petrol,Hatchback,1st Owner
2011,Maruti Suzuki,SWIFT VXI 1.2 BS IV,2.75 Lakhs,Gurgaon,"81,000 Kms",Petrol  CNG Kit,Hatchback,2nd Owner
